t_env,name,value
25,return_mean,1.3150684931506849
25,return_std,0.0
25,dead_enemies_mean,0.0
25,dead_allies_mean,3.0
25,battle_won_mean,0.0
25,ep_length_mean,25.0
25,epsilon,1.0
806,loss,0.06997170299291611
806,grad_norm,0.8649975657463074
806,td_error_abs,0.20072581099517292
806,q_taken_mean,0.0036079420148093806
806,target_mean,0.06172485603982501
10038,return_mean,1.730140471957893
10038,return_std,0.6648025419894661
10038,dead_enemies_mean,0.002544529262086514
10038,dead_allies_mean,2.982188295165394
10038,battle_won_mean,0.0
10038,ep_length_mean,25.478371501272264
10038,epsilon,0.809715
10808,loss,0.013027701526880264
10808,grad_norm,0.04555321857333183
10808,td_error_abs,0.08719427351185458
10808,q_taken_mean,0.13058469240232815
10808,target_mean,0.1290734746187425
20042,return_mean,2.571503359218218
20042,return_std,0.8399070166628432
20042,dead_enemies_mean,0.07643312101910828
20042,dead_allies_mean,2.997876857749469
20042,battle_won_mean,0.0
20042,ep_length_mean,21.23991507430998
20042,epsilon,0.6195440000000001
20810,loss,0.029416536912322044
20810,grad_norm,0.6601849794387817
20810,td_error_abs,0.13042275153723046
20810,q_taken_mean,0.3185803189753201
20810,target_mean,0.34498550949713613
30047,return_mean,3.8050880626223083
30047,return_std,1.7514541975448732
30047,dead_enemies_mean,0.4673469387755102
30047,dead_allies_mean,2.9918367346938775
30047,battle_won_mean,0.0
30047,ep_length_mean,20.418367346938776
30047,epsilon,0.42946800000000007
30822,loss,0.030119508504867554
30822,grad_norm,0.2420123964548111
30822,td_error_abs,0.1272996311646371
30822,q_taken_mean,0.5373470121147159
30822,target_mean,0.5294490456300094
40053,return_mean,5.747053201656578
40053,return_std,3.139172466229668
40053,dead_enemies_mean,0.9936575052854123
40053,dead_allies_mean,2.923890063424947
40053,battle_won_mean,0.0
40053,ep_length_mean,21.15433403805497
40053,epsilon,0.2395060000000001
40842,loss,0.12773796916007996
40842,grad_norm,0.49141401052474976
40842,td_error_abs,0.18079720665426816
40842,q_taken_mean,0.7964185527726716
40842,target_mean,0.7915165321499693
50056,return_mean,9.013698630136984
50056,return_std,5.3391949626236395
50056,dead_enemies_mean,1.6636363636363636
50056,dead_allies_mean,2.6977272727272728
50056,battle_won_mean,0.0
50056,ep_length_mean,22.73409090909091
50056,epsilon,0.05
50867,loss,0.12416385859251022
50867,grad_norm,0.5610035061836243
50867,td_error_abs,0.23187213720277297
50867,q_taken_mean,1.0322741131449855
50867,target_mean,1.0307606541833212
60059,return_mean,12.470746383305594
60059,return_std,6.715012277150489
60059,dead_enemies_mean,2.1658878504672896
60059,dead_allies_mean,2.352803738317757
60059,battle_won_mean,0.0
60059,ep_length_mean,23.371495327102803
60059,epsilon,0.05
60876,loss,0.21179617941379547
60876,grad_norm,2.1671695709228516
60876,td_error_abs,0.2715681049185739
60876,q_taken_mean,1.167902041153169
60876,target_mean,1.132094520246479
70059,return_mean,12.076399960954024
70059,return_std,6.68822109248334
70059,dead_enemies_mean,2.0593824228028503
70059,dead_allies_mean,2.356294536817102
70059,battle_won_mean,0.0
70059,ep_length_mean,23.752969121140143
70059,epsilon,0.05
70888,loss,0.3566947281360626
70888,grad_norm,1.5858242511749268
70888,td_error_abs,0.33866768087295285
70888,q_taken_mean,1.3318552163407977
70888,target_mean,1.3362710718165107
80082,return_mean,13.001687023415883
80082,return_std,6.534075460204224
80082,dead_enemies_mean,2.2364532019704435
80082,dead_allies_mean,2.2610837438423643
80082,battle_won_mean,0.0
80082,ep_length_mean,24.6871921182266
80082,epsilon,0.05
80897,loss,0.8879438638687134
80897,grad_norm,16.21576499938965
80897,td_error_abs,0.5406952747323895
80897,q_taken_mean,1.842973965527164
80897,target_mean,1.723603812370511
90103,return_mean,12.902473931711304
90103,return_std,6.454246305481824
90103,dead_enemies_mean,2.2860696517412937
90103,dead_allies_mean,2.281094527363184
90103,battle_won_mean,0.0
90103,ep_length_mean,24.927860696517413
90103,epsilon,0.05
90917,loss,0.39754417538642883
90917,grad_norm,9.524250984191895
90917,td_error_abs,0.3481712991541082
90917,q_taken_mean,1.4455690094918916
90917,target_mean,1.4335427717729048
